Código do Município;Município;Estado;Região;Região Metropolitana;Ano de Referência;Código do Prestador;Prestador;Sigla do Prestador;Natureza Jurídica;POP_TOT - População total do município (Fonte: IBGE):;POP_URB - População urbana do município (Fonte: IBGE);CS001 - Existe coleta seletiva formalizada pela prefeitura no município?;CS050 - População urbana do município atendida com a coleta seletiva do tipo porta a porta executada pela Prefeitura (ou SLU);FN201 - A Prefeitura (Prestadora) cobra pelos serviços de coleta regular, transporte e destinação final de RSU (Antigo campo GE012);FN220 - Despesa total com serviços de manejo de RSU (Antigo campo GE007);FN221 - Receita orçada com a cobrança de taxas e tarifas referentes à gestão e manejo de RSU (Antigo campo GE005);FN222 - Receita arrecadada com taxas e tarifas referentes à gestão e manejo de RSU (Antigo campo GE006);FN223 - Despesa Corrente da Prefeitura durante o ano com TODOS os serviços do município (saúde, educação, pagamento de pessoal, etc.). (Antigo campo GE010);FN224 - A Prefeitura recebeu algum recurso federal para aplicação no setor de manejo de RSU? (Antigo campo GE025);FN225 - Valor repassado (Antigo campo GE026);FN226 - Tipo de recurso (Antigo campo GE028);PO021 - O município definiu mecanismos de participação e controle social?;PO036 - Limpeza pública e manejo de resíduos sólidos;PO040 - As metas do plano para os resíduos sólidos estão sendo alcançadas?;PO042 - O município é integrante de algum CONSÓRCIO INTERMUNICIPAL regulamentado pela Lei nº 11.107/2005 que tenha entre suas atribuições específicas a gestão ou prestação de um ou mais serviços de manejo de RSU (serviços de coleta de resíduos domiciliares ou públicos, operações de aterro sanitário etc.);PO044 - Qual o ano de adesão do município ao referido consórcio intermunicipal?;PO048 - O Município possui Plano Municipal de Gestão Integrada de Resíduos Sólidos (PMGIRS) conforme a Lei nº 12.305/2010 que trata da Política Nacional de Resíduos Sólidos?;PO049 - Quando foi aprovado?;PO050 - O Plano de Gestão de Resíduos Sólidos referido anteriormente é individualizado (somente para o município) ou é intermunicipal (regional) contemplando também outros municípios? ATENÇÃO: Não considerar o Plano Estadual como resposta!!!;PO051 - Quais os demais municípios abrangidos pelo Plano de Gestão [Regional]?;TB014 - Quantidade de trabalhadores de agentes privados envolvidos nos serviços de manejo de RSU (Antigo campo GE016);IN006 - Despesa per capita com manejo de rsu em relação à população urbana
520640;Crixás;GO;Centro-Oeste;;2020;52064040;Prefeitura Municipal de Crixás;PMC;Administração pública direta;17.044;13.322;Não;;Não;2.157.374,95;;;77.504.126,33;Não;;;;;;Não;;Não;;;;50;161,94
520650;Cromínia;GO;Centro-Oeste;;2020;52065040;Secretaria de Meio Ambiente;SMA;Administração pública direta;3.472;2.613;Não;;Não;60.496,00;;;16.826.615,02;;;;;;;Sim;;Não;;;;0;23,15
520670;Damianópolis;GO;Centro-Oeste;;2020;52067040;Prefeitura Municipal de Damianópolis;PMD;Administração pública direta;3.306;1.861;Não;;Não;289.200,00;;;12.032.368,56;Não;;;;;;Não;;Não;;;;0;155,4
520680;Damolândia;GO;Centro-Oeste;;2020;52068040;Prefeitura Municipal de Damolândia;PMD;Administração pública direta;2.953;2.346;Não;;Não;200.000,00;;;15.317.748,99;;;;;;;Sim;;Sim;;Intermunicipal;;0;85,25
520710;Diorama;GO;Centro-Oeste;;2020;52071040;Prefeitura Municipal de Diorama;PM;Administração pública direta;2.479;1.506;Sim;700;Não;269.391,00;;;14.058.684,66;Não;;;Sim;Sim;Sim;Não;;Sim;jan/13;Municipal;;0;178,88
520725;Doverlândia;GO;Centro-Oeste;;2020;52072540;Prefeitura Municipal de Doverlândia;PMD;Administração pública direta;7.247;4.514;Não;;Não;543.683,00;;;25.200.000,00;;;;;;;Não;;Sim;dez/17;Municipal;;0;120,44
520735;Edealina;GO;Centro-Oeste;;2020;52073540;Secretaria Municipal de Ação Urbana;smau;Administração pública direta;3.688;2.538;Não;;Não;1.260.000,00;;;27.397.546,00;;;;;;;Sim;;Sim;;Intermunicipal;;0;496,45
520740;Edéia;GO;Centro-Oeste;;2020;52074040;Secretaria Municipal do Meio Ambiente;SMMA;Administração pública direta;12.467;10.555;Não;;Não;1.778.112,22;;;50.683.972,48;Não;;;Sim;Sim;Não;Sim;;Sim;mar/19;Intermunicipal;[12 municípios]: Edealina - GO, Mairipotaba - GO, Morrinhos - GO, Pontalina - GO, Buriti Alegre - GO, Cromínia - GO, Joviânia - GO, Porteirão - GO, Bom Jesus de Goiás - GO, Castelândia - GO, Panamá - GO, Professor Jamil - GO;10;168,46
520750;Estrela do Norte;GO;Centro-Oeste;;2020;52075040;Prefeitura Municipal de Estrela Do Norte;PMEN;Administração pública direta;3.264;2.882;Não;;Não;268.619,96;;;14.150.731,87;;;;;Sim;;Não;;Não;;;;0;93,21
520753;Faina;GO;Centro-Oeste;;2020;52075340;Prefeitura Municipal;PM;Administração pública direta;6.576;3.625;Não;;Não;931.656,56;;;23.445.863,08;;;;;;;Não;;Não;;;;0;257,01
520760;Fazenda Nova;GO;Centro-Oeste;;2020;52076040;Prefeitura Municipal de Fazenda Nova;PMFN;Administração pública direta;5.553;3.582;Sim;3.500;Não;673.200,00;;;22.000.000,00;Não;;;Sim;Sim;Não;Sim;;Não;;;;0;187,94
520780;Firminópolis;GO;Centro-Oeste;;2020;52078040;Prefeitura Municipal de Firminópolis;PMF;Administração pública direta;13.449;10.195;Não;;Não;138.600,00;;;28.716.793,59;Não;;;Sim;Sim;O primeiro ano previsto para as metas é posterior a este ano de referência;Sim;;Sim;;Municipal;;0;13,59
520790;Flores de Goiás;GO;Centro-Oeste;;2020;52079040;PREFEITURA MUNICIPAL DE FLORES DE GOIAS;PREF;Administração pública direta;17.005;4.468;Não;;Não;678.153,04;;;39.480.809,43;;;;;;;Sim;;Não;;;;3;151,78
520800;Formosa;GO;Centro-Oeste;RIDE DF e Entorno - Região Integrada de Desenvolvimento do Distrito Federal e Entorno;2020;52080040;SECRETARIA MUNICIPAL DE MEIO AMBIENTE;SEMMA;Administração pública direta;123.684;113.721;Não;;Sim;7.555.362,56;0;866.817,91;263.156.882,37;Não;;;Sim;;;Não;;Não;;;;62;66,44
520810;Formoso;GO;Centro-Oeste;;2020;52081040;SECRETARIA DO MEIO AMBIENTE DE FORMOSO;SMAF;Administração pública direta;4.172;3.082;Não;;Não;325.500,00;;;22.425.000,00;Não;;;;;;Não;;Não;;;;0;105,61
520830;Divinópolis de Goiás;GO;Centro-Oeste;;2020;52083040;Prefeitura Municipal de Divinópolis de Goiás;PMDG;Administração pública direta;4.778;3.362;Não;;Não;453.600,00;;;20.765.704,75;;;;;;;Não;;Sim;ago/14;Intermunicipal;;0;134,92
520840;Goianápolis;GO;Centro-Oeste;RM Goiânia;2020;52084040;Secretário de Obras, Serviços Urbanos e Rurais;SOSUR;Administração pública direta;11.224;10.170;Não;;Não;906.000,00;;;35.117.753,23;;;;;;;Não;;Não;;;;0;89,09
520850;Goiandira;GO;Centro-Oeste;;2020;52085040;PREFEITURA MUNICIPAL DE GOIANDIRA;PMG;Administração pública direta;5.625;4.848;Não;;Não;82.700,00;;;11.400.000,00;Não;;;Não;Sim;Sim;Não;;Não;;;;0;17,06
520860;Goianésia;GO;Centro-Oeste;;2020;52086040;Secretaria Municipal de Serviços Urbanos;SESU;Administração pública direta;71.075;66.433;Não;;Não;11.562.850,63;;;459.146.542,50;;;;;;;Não;;Não;;;;82;174,05
520870;Goiânia;GO;Centro-Oeste;RM Goiânia;2020;52087040;Companhia de Urbanização de Goiania;Comurg;Sociedade de economia mista com administração pública;1.536.097;1.530.286;Sim;1.514.984;Não;446.998.774,58;;;6.056.055.000,00;Não;;;;;;Não;;Sim;mai/19;Municipal;;384;292,1
520880;Goianira;GO;Centro-Oeste;RM Goiânia;2020;52088040;Prefeitura Municipal de Goianira;PMG;Administração pública direta;45.296;44.486;Não;;Não;1.559.004,00;;;121.398.391,00;Não;;;;;;Não;;Sim;;Municipal;;0;35,04
520890;Goiás;GO;Centro-Oeste;;2020;52089040;Secretaria Municipal de Meio Ambiente;SEMMA;Administração pública direta;22.381;16.870;Sim;16.870;Não;1.166.540,00;;;34.896.688,21;Não;;;;;;Não;;Não;;;;0;69,15
520910;Goiatuba;GO;Centro-Oeste;;2020;52091040;Prefeitura Municipal de Goiatuba;Pref.GTBA;Administração pública direta;34.202;31.517;Não;;Não;4.866.047,44;;;206.358.144,15;Não;;;;Sim;;Não;;Sim;out/12;Municipal;;83;154,39
520915;Gouvelândia;GO;Centro-Oeste;;2020;52091540;Prefeitura Municipal de Gouvelândia;PMG;Administração pública direta;5.988;4.713;Não;;Não;283.785,00;;;27.628.239,00;Não;;;;;;Não;;Não;;;;0;60,21
520920;Guapó;GO;Centro-Oeste;RM Goiânia;2020;52092040;Prefeitura Municipal de Guapó;PMG;Administração pública direta;14.207;11.520;Não;;Não;329.273,10;;;17.209.747,60;Não;;;;;;Não;;Não;;;;0;28,58
520929;Guaraíta;GO;Centro-Oeste;;2020;52092940;Prefeitura Municipal de Guaraíta;PMG;Administração pública direta;1.951;1.184;Não;;Não;72.000,00;;;4.500.000,00;;;;;;;Não;;Não;;;;0;60,81
520940;Guarani de Goiás;GO;Centro-Oeste;;2020;52094040;PREFEITURA MUNICIPAL DE GUARANI DE GOIÁS;PMGG;Administração pública direta;3.846;1.592;Não;;Não;58.152,00;;;9.682.905,00;Sim;398.000,00;Oneroso (financiamento);Não;Sim;O primeiro ano previsto para as metas é posterior a este ano de referência;Não;;Não;;;;0;36,53
520945;Guarinos;GO;Centro-Oeste;;2020;52094540;Prefeitura Municipal de Guarinos;PMG;Administração pública direta;1.737;855;Não;;Não;137.800,00;;;14.631.010,31;Não;;;;;;Não;;Não;;;;0;161,17
520960;Heitoraí;GO;Centro-Oeste;;2020;52096040;Prefeitura Municipal de Heitoraí;RSU;Administração pública direta;3.733;2.765;Não;;Não;496.557,00;;;17.772.033,00;Não;;;;;;Sim;;Sim;nov/11;Municipal;;19;179,59
520970;Hidrolândia;GO;Centro-Oeste;RM Goiânia;2020;52097040;Secretaria Municipal do Meio Ambiente de Hidrolândia;SEMMA;Administração pública direta;22.124;13.314;Sim;13.314;Não;1.094.432,62;;;63.112.308,00;Não;;;Não;Sim;Sim;Não;;Não;;;;0;82,2
520980;Hidrolina;GO;Centro-Oeste;;2020;52098040;PREFEITURA MUNICIPAL DE HIDROLINA;GO;Administração pública direta;3.508;2.595;Não;;Não;139.200,00;;;18.692.087,90;Não;;;;Não;;Não;;Não;;;;2;53,64
520990;Iaciara;GO;Centro-Oeste;;2020;52099040;PREFEITURA MUNICIPAL DE IACIARA;PMI;Administração pública direta;14.082;10.539;Não;;Não;831.873,17;;;34.265.467,12;Não;;;;;;Não;;Não;;;;0;78,93
520993;Inaciolândia;GO;Centro-Oeste;;2020;52099340;sec municipal de saude municipio de inaciolandia goias prefeitura;SS;Administração pública direta;6.235;5.268;Não;;Não;865.000,00;;;1.890.000,00;Não;;;;;;Não;;Sim;;Municipal;;26;164,2
520995;Indiara;GO;Centro-Oeste;;2020;52099540;PREFEITURA MUNICIPAL DE INDIARA;PMI;Administração pública direta;15.787;13.442;Não;;Não;242.000,00;;;2.400.000,00;;;;;;;Não;;Sim;;Municipal;;0;18
521010;Ipameri;GO;Centro-Oeste;;2020;52101040;Prefeitura Municipal de Ipameri;PMI;Administração pública direta;27.174;23.440;Não;;Não;1.460.856,52;;;114.771.291,60;Não;;;Sim;Não;;Não;;Sim;jun/13;Municipal;;1;62,32
521020;Iporá;GO;Centro-Oeste;;2020;52102040;PREFEITURA MUNICIPAL DE IPORA;SECSMA;Administração pública direta;31.499;28.750;Não;;Não;400.000,00;;;40.000.000,00;Não;;;;;;Não;;Não;;;;0;13,91
521030;Israelândia;GO;Centro-Oeste;;2020;52103040;PREFEITURA MUNICIPAL DE ISRAELANDIA;PMI;Administração pública direta;2.786;2.170;Não;;Não;425.784,07;;;17.424.639,74;Não;;;;;;Não;;Não;;;;0;196,21
521040;Itaberaí;GO;Centro-Oeste;;2020;52104040;Secretaria Municipal de Infraestrutura e Habitação;SMIH;Administração pública direta;43.622;36.732;Não;;Não;3.600.000,00;;;96.222.557,22;Não;;;;;;Não;;Não;;;;0;98,01
521056;Itaguari;GO;Centro-Oeste;;2020;52105640;Prefeitura Municipal de Itaguari;PMI;Administração pública direta;4.685;4.119;Sim;;Não;527.160,00;;;18.210.549,89;Não;;;;;;Sim;;Sim;set/18;Municipal;;0;127,98
521060;Itaguaru;GO;Centro-Oeste;;2020;52106040;SECRETARIA MUNICIPAL DE INFRAESTRUTURA, MEIO AMBIENTE E RECURSOS HÍDRICOS;SEMMARH;Administração pública direta;5.206;4.329;Não;;Não;503.882,83;;;20.497.551,28;Não;;;;;;Não;;Não;;;;0;116,4
521080;Itajá;GO;Centro-Oeste;;2020;52108040;prefeitura municipal de Itajá;PMI;Empresa pública;4.475;3.306;Sim;3.306;Não;407.800,00;;;8.500.000,00;Não;;;;;;Não;;Não;;;;2;123,35
521090;Itapaci;GO;Centro-Oeste;;2020;52109040;Prefeitura de Itapaci;SLU;Administração pública direta;23.421;21.159;Sim;;Não;867.919,61;;;46.942.961,27;Não;;;;Sim;Não;Não;;Não;;;;0;41,02
521100;Itapirapuã;GO;Centro-Oeste;;2020;52110040;Prefeitura Municipal de Itapirapuã;PMI;Administração pública direta;4.685;3.310;Não;;Não;481.000,00;;;29.836.422,35;Não;;;;Sim;Sim;Não;;Não;;;;0;145,32
521120;Itapuranga;GO;Centro-Oeste;;2020;52112040;Secretaria Municipal de Infraestrutura e Cidades;SEMINC;Administração pública direta;25.681;20.874;Não;;Não;2.168.328,50;;;71.067.089,64;;;;;;;Não;;Sim;dez/12;Municipal;;0;103,88
521130;Itarumã;GO;Centro-Oeste;;2020;52113040;Prefeitura Municipal;PMI;Administração pública direta;7.259;4.699;Não;;Não;329.273,00;;;24.498.968,00;;;;;;;Não;;Não;;;;0;70,07
521140;Itauçu;GO;Centro-Oeste;;2020;52114040;Departamento de obras e rodagens;DOR;Administração pública direta;8.960;6.751;Sim;;Não;620.727,16;;;28.416.442,60;Não;;;Não;Sim;Não;Sim;;Sim;mai/19;Intermunicipal;[15 municípios]: Taquaral de Goiás - GO, Itaberaí - GO, Santa Rosa de Goiás - GO, Santa Bárbara de Goiás - GO, Petrolina de Goiás - GO, Itaguari - GO, Inhumas - GO, Santo Antônio de Goiás - GO, Nova Veneza - GO, Itauçu - GO, Damolândia - GO, Goianira - GO, Brazabrantes - GO, Caturaí - GO, Araçu - GO;0;91,95
521150;Itumbiara;GO;Centro-Oeste;;2020;52115040;Prefeitura Municipal de Itumbiara-GO;PMI;Administração pública direta;105.809;101.320;Não;;Não;4.152.572,14;;;330.809.828,86;Não;;;;;;Não;;Não;;;;46;40,98
521160;Ivolândia;GO;Centro-Oeste;;2020;52116040;Prefeitura Municipal de Ivolândia;PMI;Administração pública direta;2.334;1.345;Não;;Não;536.215,32;;;19.767.309,57;Não;;;;;;Não;;Não;;;;9;398,67
521170;Jandaia;GO;Centro-Oeste;;2020;52117040;PREFEITURA MUNICIPAL DE JANDIA;PREFJ;Administração pública direta;6.025;4.060;Não;;Não;52.541,54;;;35.757.776,54;;;;;;;Não;;Sim;;Municipal;;0;12,94
521180;Jaraguá;GO;Centro-Oeste;;2020;52118040;Prefeitura Municipal de Jaraguá;PMJ;Administração pública direta;51.338;43.317;Não;;Não;1.841.533,00;;;71.439.955,00;Não;;;;;;Não;;Não;;;;53;42,51
521190;Jataí;GO;Centro-Oeste;;2020;52119040;Secretaria de Meio Ambiente e Urbanismo;SMMAU;Administração pública direta;102.065;93.951;Sim;12.759;Não;14.806.753,08;;;521.359.055,30;;;;;Sim;Sim;Não;;Não;;;;186;157,6
521205;Jesúpolis;GO;Centro-Oeste;;2020;52120540;Prefeitura Municipal de Jesúpolis;PMJ;Administração pública direta;2.506;1.998;Sim;1.998;Não;100.000,00;;;20.829.655,01;Não;;;;;;Sim;;Sim;;Intermunicipal;;6;50,05
521210;Joviânia;GO;Centro-Oeste;;2020;52121040;SECRETARIA MUNICIPAL DE AÇÃO URBANA;SEMA;Administração pública direta;7.402;6.730;Não;;Não;1.241.751,22;;;30.637.404,99;Não;;;;;;Não;;Não;;;;1;184,51
521225;Lagoa Santa;GO;Centro-Oeste;;2020;52122540;Prefeitura Municipal de Lagoa Santa;PMLS;Administração pública direta;1.621;1.003;Não;;Não;206.000,00;;;4.320.000,00;;;;;;;Não;;Sim;mar/20;Municipal;;0;205,38
521230;Leopoldo de Bulhões;GO;Centro-Oeste;;2020;52123040;PREFEITURA DE LEOPOLDO DE BULHOES;PMLB;Administração pública direta;7.651;4.701;Não;;Não;1.070.981,29;;;28.919.939,05;;;;;;;Não;;Não;;;;0;227,82
521250;Luziânia;GO;Centro-Oeste;RIDE DF e Entorno - Região Integrada de Desenvolvimento do Distrito Federal e Entorno;2020;52125040;SECRETARIA MUNICIPAL DE MEIO AMBIENTE E RECURSOS HÍDRICOS;SEMARH;Administração pública direta;211.508;197.300;Não;;Sim;15.920.000,00;4.591.049,19;2.480.322,30;353.090.202,91;Não;;;;;;Não;;Sim;;Municipal;;204;80,69
521270;Mambaí;GO;Centro-Oeste;;2020;52127040;Prefeitura Municipal de Mambaí;PMM;Administração pública direta;9.081;6.347;Não;;Não;165.000,00;;;16.595.612,10;Não;;;Sim;Sim;Não;Não;;Não;;;;4;26
521280;Mara Rosa;GO;Centro-Oeste;;2020;52128040;PREFEITURA MUNICIPAL DE MARA ROSA;PMMR;Administração pública direta;9.363;7.000;Não;;Não;1.520.078,00;;;31.181.406,24;Não;;;;;;Não;;Não;;;;11;217,15
521290;Marzagão;GO;Centro-Oeste;;2020;52129040;Prefeitura Municipal de Marzagão;PMM;Administração pública direta;2.250;1.959;Sim;1.950;Não;249.000,00;;;12.748.263,80;Não;;;;;;Não;;Sim;;Municipal;;0;127,11
521295;Matrinchã;GO;Centro-Oeste;;2020;52129540;Prefeitura Municipal de Matrinchã;PMM;Administração pública direta;4.336;2.942;Não;;Não;787.914,38;;;28.497.318,29;Não;;;;;;Não;;Não;;;;0;267,82
521308;Minaçu;GO;Centro-Oeste;;2020;52130840;Prefeitura Municipal de Minaçu;PMM;Administração pública direta;28.793;24.542;Sim;17.180;Não;3.160.200,00;;;104.958.394,00;;;;;;;Não;;Sim;;Municipal;;54;128,77
521310;Mineiros;GO;Centro-Oeste;;2020;52131040;Fundo Municipal do Meio Ambiente;SEMMA;Administração pública direta;68.154;62.168;Não;;Não;5.163.363,40;;;82.386.467,68;Não;;;;;;Não;;Não;;;;62;83,06
521340;Moiporá;GO;Centro-Oeste;;2020;52134040;Prefeitura Municipal de Moiporá;PMM;Administração pública direta;1.501;965;Não;;Não;441.108,00;;;9.512.512,12;Não;;;;;;Não;;Não;;;;0;457,11
521370;Montes Claros de Goiás;GO;Centro-Oeste;;2020;52137040;SECRETARIA MUNICIPAL DE OBRAS PUBLICAS E AÇÃO URBANA;SMOPAU;Administração pública direta;8.047;5.365;Não;;Não;600.000,00;;;21.255.709,90;;;;;;;Não;;Não;;;;0;111,84
521375;Montividiu;GO;Centro-Oeste;;2020;52137540;Prefeitura Municipal de Montividiu;PMM;Administração pública direta;13.672;11.101;Não;;Não;1.346.252,38;;;25.420.509,94;Não;;;;;;Não;;Não;;;;21;121,27
521380;Morrinhos;GO;Centro-Oeste;;2020;52138040;Prefeitura Municipal de Morrinhos;PMM;Administração pública direta;46.548;40.372;Sim;16.207;Não;9.631.547,45;;;145.099.575,35;Não;;;Sim;Sim;Sim;Sim;;Sim;set/14;Intermunicipal;[13 municípios]: Edealina - GO, Mairipotaba - GO, Vicentinópolis - GO, Edéia - GO, Buriti Alegre - GO, Cromínia - GO, Joviânia - GO, Porteirão - GO, Panamá - GO, Bom Jesus de Goiás - GO, Castelândia - GO, Professor Jamil - GO, Pontalina - GO;0;238,57
521385;Morro Agudo de Goiás;GO;Centro-Oeste;;2020;52138540;Prefeitura Municipal de Morro Agudo de Goiás;PMMAG;Administração pública direta;2.232;1.562;Sim;;Não;132.221,68;;;18.261.293,90;;;;;;;Não;;Não;;;;0;84,65
521390;Mossâmedes;GO;Centro-Oeste;;2020;52139040;PREFEITURA MUNICIPAL DE MOSSAMEDES;PMM;Administração pública direta;4.206;2.751;Sim;2.749;Não;383.164,90;;;25.512.566,43;Não;;;Sim;Sim;Sim;Sim;;Sim;ago/14;Intermunicipal;[7 municípios]: Sanclerlândia - GO, Buriti de Goiás - GO, Americano do Brasil - GO, Anicuns - GO, Adelândia - GO, Avelinópolis - GO, Mossâmedes - GO;0;139,28
521400;Mozarlândia;GO;Centro-Oeste;;2020;52140040;SECRETARIA DE PLANEJAMENTO E MEIO AMBIENTE;SEPLAN;Administração pública direta;15.870;14.398;Não;;Não;310.000,00;;;22.652.366,89;Não;;;;;;Não;;Sim;fev/15;Municipal;;1;21,53
521405;Mundo Novo;GO;Centro-Oeste;;2020;52140540;Prefeitura Municipal de Mundo Novo;PMMN;Administração pública direta;4.713;2.758;Não;;Sim;82.172,00;984;984;27.079.967,00;Não;;;;;;Não;;Não;;;;0;29,79
521410;Mutunópolis;GO;Centro-Oeste;;2020;52141040;Prefeitura Municipal de Mutópolis;PMM;Administração pública direta;3.764;2.484;Não;;Não;581.070,00;;;18.253.476,87;;;;;;;Sim;;Não;;;;0;233,93
521440;Nazário;GO;Centro-Oeste;;2020;52144040;PREFEITURA MUNICIPAL DE NAZÁRIO;PMNZR;Administração pública direta;9.260;7.276;Não;;Não;120.000,00;;;24.000.000,00;Não;;;Não;Sim;;Não;;Não;;;;0;16,49
521450;Nerópolis;GO;Centro-Oeste;RM Goiânia;2020;52145040;Prefeitura Municipal de Nerópolis;Pref. de Nerópolis;Administração pública direta;30.395;29.163;Sim;29.163;Não;6.081.866,33;;;133.388.925,03;Não;;;;;;Não;;Não;;;;67;208,55
521460;Niquelândia;GO;Centro-Oeste;;2020;52146040;Prefeitura Municipal de Niquelândia;PMN;Administração pública direta;46.730;36.782;Não;;Não;3.623.138,45;;;125.321.872,16;Não;;;;;;Não;;Sim;set/15;Municipal;;92;98,5
521470;Nova América;GO;Centro-Oeste;;2020;52147040;Prefeitura Municipal de Nova América;PMNA;Administração pública direta;2.357;1.718;Sim;850;Não;429.950,97;;;14.952.529,69;Não;;;;;;Sim;;Não;;;;0;250,26
521480;Nova Aurora;GO;Centro-Oeste;;2020;52148040;Prefeitura Municipal de Nova Aurora go;PMNA;Administração pública direta;2.222;2.018;Sim;;Não;455.621,18;;;15.708.005,89;Não;;;;;;Não;;Não;;;;0;225,78
521483;Nova Crixás;GO;Centro-Oeste;;2020;52148340;Prefeitura de Nova Crixás;PMNC;Administração pública direta;12.945;8.388;Não;;Não;706.900,00;;;25.000.000,00;;;;;;;Não;;Não;;;;0;84,28
521486;Nova Glória;GO;Centro-Oeste;;2020;52148640;Prefeitura Municipal de Nova Glória;PMNG;Empresa pública;8.112;5.463;Não;;Não;500.280,00;;;48.125.672,39;;;;;;;Não;;Não;;;;0;91,58
521490;Nova Roma;GO;Centro-Oeste;;2020;52149040;Prefeitura Municipal de Nova Roma;PMNR;Administração pública direta;3.236;1.329;Não;;Não;356.400,00;;;10.696.408,25;Não;;;;;;Sim;;Sim;ago/14;Intermunicipal;;0;268,17
521500;Nova Veneza;GO;Centro-Oeste;RM Goiânia;2020;52150040;Secretaria Municipal de Meio Ambiente;SMMA;Administração pública direta;10.018;8.659;Não;;Não;800.000,00;;;27.055.849,64;;;;;;;Sim;;Sim;set/17;Intermunicipal;[13 municípios]: Taquaral de Goiás - GO, Itaberaí - GO, Santa Bárbara de Goiás - GO, Damolândia - GO, Goianira - GO, Petrolina de Goiás - GO, Araçu - GO, Brazabrantes - GO, Caturaí - GO, Inhumas - GO, Itaguari - GO, Santo Antônio de Goiás - GO, Itauçu - GO;0;92,39
521520;Novo Brasil;GO;Centro-Oeste;;2020;52152040;Prefeitura Municipal de Novo Brasil;PMNB;Administração pública direta;2.843;1.837;Sim;;Não;876.540,57;;;16.063.057,63;Não;;;Não;Sim;O primeiro ano previsto para as metas é posterior a este ano de referência;Sim;;Não;;;;2;477,16
521523;Novo Gama;GO;Centro-Oeste;RIDE DF e Entorno - Região Integrada de Desenvolvimento do Distrito Federal e Entorno;2020;52152340;Secretária de Infraestrutura Urbana;SIU;Administração pública direta;117.703;116.406;Não;;Sim;2.439.539,00;2.290.450,00;2.290.450,00;143.800.240,00;Não;;;;;;Não;;Não;;;;0;20,96
521530;Orizona;GO;Centro-Oeste;;2020;52153040;PREFEITURA MUNICIPAL;PM;Administração pública direta;15.725;8.770;Não;;Não;639.317,79;;;7.650.000,00;;;;;;;Não;;Não;;;;0;72,9
521540;Ouro Verde de Goiás;GO;Centro-Oeste;;2020;52154040;Secretaria Municipal de Obras e Serviços Urbanos;SMOSU;Administração pública direta;3.723;2.476;Sim;2.476;Não;516.306,00;;;21.823.226,07;Não;;;;;;Não;;Não;;;;0;208,52
521550;Ouvidor;GO;Centro-Oeste;;2020;52155040;Prefeitura Municipal de Ouvidor;PMO;Administração pública direta;6.782;5.967;Sim;5.967;Não;2.416.196,60;;;64.695.666,44;Não;;;Sim;Sim;;Sim;;Sim;out/13;Intermunicipal;[1 municípios]: Três Ranchos - GO;46;404,93
521560;Padre Bernardo;GO;Centro-Oeste;RIDE DF e Entorno - Região Integrada de Desenvolvimento do Distrito Federal e Entorno;2020;52156040;Secretaria do Meio Ambiente;SEMMA;Administração pública direta;34.430;13.421;Não;;Não;2.781.128,81;;;87.320.416,43;Não;;;Sim;;;Não;;Sim;dez/18;Municipal;;43;207,22
521565;Palestina de Goiás;GO;Centro-Oeste;;2020;52156540;Municipio de Palestina de Goiás;MPG;Administração pública direta;3.467;2.242;Não;;Não;450.200,00;;;23.768.597,00;Não;;;Sim;Sim;Não;Não;;Sim;dez/20;Municipal;;0;200,8
521570;Palmeiras de Goiás;GO;Centro-Oeste;;2020;52157040;Prefeitura Municipal de Palmeiras de Goiás;Palmeiras;Administração pública direta;29.392;24.138;Sim;24.138;Não;5.597.823,25;;;96.280.021,52;Não;;;;Sim;;Não;;Não;;;;60;231,91
521580;Palmelo;GO;Centro-Oeste;;2020;52158040;Prefeitura de Palmelo;PMP;Administração pública direta;2.381;2.260;Não;;Não;324.839,66;;;13.915.257,16;Não;;;;;;Não;;Sim;dez/20;Municipal;;0;143,73
521590;Palminópolis;GO;Centro-Oeste;;2020;52159040;Prefeitura Municipal de Palminópolis;PMP;Administração pública direta;3.582;2.718;Não;;Não;287.000,00;;;22.285.611,00;Não;;;Não;Sim;Sim;Não;;Não;;;;0;105,59
521600;Panamá;GO;Centro-Oeste;;2020;52160040;Secretaria de Obras e Serviços Urbanos;SOSU;Administração pública direta;2.603;1.975;Não;;Não;472.678,92;;;22.141.203,74;;;;Não;Sim;Não;Sim;;Sim;ago/12;Municipal;;0;239,33
521630;Paranaiguara;GO;Centro-Oeste;;2020;52163040;Secretaria de Meio Ambiente;SEMA;Administração pública direta;10.140;9.347;Não;;Não;333.393,20;;;37.166.634,00;;;;;;;Não;;Não;;;;0;35,67
521640;Paraúna;GO;Centro-Oeste;;2020;52164040;Prefeitura Municipal de Paraúna;PMP;Administração pública direta;10.980;8.073;Não;;Não;775.000,00;;;54.777.693,00;Não;;;;;;Não;;Não;;;;0;96
521645;Perolândia;GO;Centro-Oeste;;2020;52164540;Prefeitura Municipal de Perolândia;PMP;Administração pública direta;3.143;1.981;Não;;Não;604.945,38;;;27.144.894,11;Não;;;;Sim;Não;Não;;Sim;;Municipal;;1;305,37
